iter	Passed	Remaining
0	10	10497
1	16	8325
2	22	7620
3	29	7360
4	36	7232
5	43	7268
6	49	7031
7	56	7062
8	65	7160
9	71	7037
10	78	7037
11	84	6966
12	93	7127
13	100	7080
14	107	7040
15	113	6966
16	119	6895
17	125	6863
18	131	6798
19	138	6809
20	144	6751
21	150	6703
22	157	6674
23	163	6636
24	169	6614
25	175	6589
26	191	6913
27	199	6941
28	205	6879
29	212	6881
30	219	6861
31	225	6833
32	230	6747
33	237	6738
34	244	6731
35	251	6725
36	259	6766
37	270	6843
38	277	6839
39	283	6801
40	289	6772
41	298	6797
42	304	6782
43	312	6779
44	319	6776
45	327	6785
46	333	6758
47	339	6732
48	345	6705
49	353	6723
50	359	6694
51	366	6687
52	373	6674
53	380	6659
54	389	6694
55	396	6678
56	402	6662
57	409	6646
58	415	6628
59	421	6603
60	427	6578
61	433	6565
62	439	6541
63	445	6517
64	452	6506
65	458	6485
66	465	6477
67	472	6472
68	480	6487
69	486	6468
70	493	6456
71	499	6443
72	506	6434
73	514	6437
74	528	6513
75	534	6497
76	540	6478
77	547	6466
78	554	6460
79	557	6415
80	564	6404
81	571	6394
82	578	6390
83	586	6390
84	592	6379
85	599	6369
86	605	6352
87	613	6360
88	619	6342
89	626	6331
90	632	6316
91	638	6301
92	645	6292
93	650	6273
94	657	6264
95	664	6260
96	671	6247
97	677	6235
98	683	6219
99	689	6206
100	695	6190
101	701	6177
102	708	6166
103	714	6152
104	720	6137
105	726	6124
106	733	6125
107	741	6126
108	749	6124
109	756	6123
110	763	6116
111	770	6110
112	777	6099
113	783	6092
114	790	6081
115	796	6067
116	803	6060
117	809	6048
118	815	6036
119	821	6027
120	827	6013
121	834	6006
122	840	5994
123	846	5982
124	853	5973
125	858	5958
126	865	5948
127	871	5938
128	877	5927
129	884	5918
130	890	5904
131	896	5892
132	902	5884
133	908	5872
134	916	5869
135	923	5865
136	930	5860
137	934	5837
138	942	5840
139	949	5834
140	957	5832
141	963	5821
142	969	5811
143	975	5799
144	982	5792
145	988	5782
146	994	5772
147	1001	5762
148	1006	5750
149	1013	5741
150	1019	5731
151	1025	5722
152	1032	5714
153	1038	5703
154	1045	5697
155	1051	5689
156	1057	5679
157	1064	5672
158	1070	5661
159	1076	5653
160	1082	5641
161	1088	5631
162	1096	5629
163	1102	5618
164	1109	5612
165	1115	5604
166	1121	5595
167	1129	5592
168	1135	5585
169	1143	5580
170	1151	5581
171	1158	5578
172	1165	5570
173	1171	5560
174	1177	5550
175	1183	5538
176	1189	5528
177	1193	5512
178	1199	5502
179	1206	5496
180	1213	5489
181	1219	5481
182	1227	5482
183	1234	5473
184	1240	5463
185	1246	5456
186	1253	5451
187	1262	5454
188	1269	5447
189	1276	5440
190	1282	5432
191	1290	5431
192	1297	5426
193	1305	5423
194	1312	5417
195	1319	5412
196	1326	5406
197	1333	5400
198	1339	5391
199	1346	5385
200	1353	5381
201	1361	5379
202	1366	5365
203	1373	5358
204	1380	5352
205	1387	5347
206	1394	5340
207	1401	5337
208	1408	5329
209	1415	5323
210	1423	5323
211	1430	5318
212	1439	5317
213	1445	5310
214	1452	5304
215	1459	5298
216	1466	5291
217	1475	5294
218	1482	5288
219	1488	5278
220	1495	5272
221	1502	5266
222	1510	5261
223	1516	5254
224	1523	5247
225	1531	5244
226	1538	5239
227	1544	5230
228	1550	5220
229	1557	5213
230	1563	5204
231	1569	5194
232	1576	5188
233	1581	5178
234	1588	5172
235	1594	5162
236	1600	5154
237	1607	5147
238	1613	5137
239	1620	5130
240	1626	5121
241	1633	5116
242	1640	5109
243	1649	5110
244	1657	5106
245	1662	5097
246	1669	5090
247	1675	5080
248	1683	5077
249	1689	5067
250	1695	5058
251	1701	5049
252	1707	5040
253	1713	5031
254	1719	5023
255	1725	5014
256	1731	5006
257	1738	4998
258	1744	4989
259	1751	4985
260	1757	4976
261	1764	4969
262	1770	4961
263	1776	4952
264	1783	4946
265	1789	4938
266	1796	4931
267	1802	4923
268	1808	4915
269	1817	4914
270	1823	4906
271	1830	4900
272	1837	4892
273	1843	4885
274	1852	4883
275	1859	4877
276	1866	4871
277	1873	4866
278	1880	4859
279	1886	4851
280	1892	4843
281	1898	4834
282	1904	4826
283	1911	4818
284	1917	4809
285	1923	4801
286	1929	4793
287	1935	4784
288	1941	4777
289	1947	4769
290	1954	4761
291	1960	4753
292	1966	4745
293	1972	4737
294	1979	4729
295	1984	4721
296	1991	4713
297	1998	4708
298	2004	4700
299	2014	4699
300	2020	4692
301	2027	4685
302	2034	4679
303	2040	4672
304	2046	4664
305	2053	4656
306	2059	4648
307	2065	4640
308	2071	4631
309	2077	4623
310	2083	4614
311	2089	4606
312	2095	4598
313	2100	4590
314	2106	4581
315	2112	4573
316	2118	4565
317	2124	4556
318	2130	4548
319	2136	4540
320	2142	4532
321	2148	4523
322	2153	4513
323	2159	4505
324	2165	4496
325	2170	4488
326	2179	4484
327	2185	4478
328	2192	4471
329	2198	4463
